id	chr	start	end	len	strand	count
AT1G02410	1	490924	492926	2002	+	422
AT1G02420	1	493682	495158	1476	+	71
AT1G02430	1	495049	496062	1013	-	22
AT1G02440	1	496585	497479	894	-	2
AT1G02450	1	497975	498516	541	-	7
AT1G02460	1	504672	507204	2532	-	66
AT1G02470	1	511764	513624	1860	-	19
AT1G02475	1	513842	515404	1562	-	1415
AT1G02480	1	515493	515566	73	+	0
AT1G02490	1	516617	516734	117	+	2
AT1G02500	1	518250	520437	2187	+	4184
AT1G02510	1	520497	521668	1171	-	0
AT1G02520	1	523650	528745	5095	+	10
AT1G02530	1	529794	534677	4883	+	4
AT1G02540	1	534826	535699	873	-	0
AT1G02550	1	536482	537211	729	+	0
AT1G02560	1	537859	540109	2250	+	6923
AT1G02570	1	541334	542240	906	+	0
AT1G02575	1	543109	544007	898	+	0
AT1G02580	1	544782	549202	4420	+	1
AT1G02590	1	552137	552761	624	-	0
AT1G02600	1	552639	552711	72	+	0
AT1G02610	1	553049	555994	2945	-	38
AT1G02620	1	557091	557986	895	+	0
AT1G02630	1	560609	562424	1815	-	20
AT1G02640	1	564204	567769	3565	+	254
AT1G02650	1	568703	570418	1715	+	14
AT1G02660	1	571954	574981	3027	-	111
AT1G02670	1	576045	580299	4254	+	37
AT1G02680	1	580624	582310	1686	+	206
AT1G02681	1	582412	582922	510	+	0
AT1G02690	1	584259	587219	2960	+	268
AT1G02700	1	588328	589480	1152	+	31
AT1G02710	1	589705	589996	291	-	40
AT1G02720	1	591825	594236	2411	+	257
AT1G02730	1	594572	598657	4085	-	952
AT1G02740	1	599415	602038	2623	-	145
AT1G02750	1	602496	604292	1796	+	170
AT1G02760	1	604401	604474	73	+	0
AT1G02770	1	604872	606693	1821	-	10
AT1G02780	1	607807	609465	1658	-	10552
AT1G02790	1	610390	612324	1934	-	0
AT1G02800	1	613215	616191	2976	-	142
AT1G02810	1	618264	620480	2216	+	10
AT1G02813	1	620677	621289	612	+	0
AT1G02816	1	621460	622469	1009	+	224
AT1G02820	1	623764	624475	711	-	1167
AT1G02830	1	625144	625608	464	-	0
AT1G02840	1	626740	629819	3079	+	1780
AT1G02850	1	630504	633259	2755	+	35
AT1G02860	1	635143	637262	2119	+	185
AT1G02870	1	637213	638677	1464	-	174
AT1G02880	1	642751	644903	2152	-	284
AT1G02890	1	645091	651907	6816	-	1909
AT1G02900	1	653764	654343	579	-	20
AT1G02910	1	655576	658148	2572	-	1698
AT1G02920	1	658656	659771	1115	-	111
AT1G02930	1	661176	662456	1280	-	584
AT1G02940	1	663078	664128	1050	-	2
AT1G02950	1	665151	666452	1301	-	127
AT1G02952	1	665353	666367	1014	+	0
AT1G02960	1	666871	669837	2966	-	493
AT1G02965	1	671660	672814	1154	-	0
AT1G02970	1	673305	676378	3073	+	95
AT1G02980	1	677868	681310	3442	+	0
AT1G02990	1	681395	687315	5920	-	613
AT1G03000	1	687889	692560	4671	-	780
AT1G03010	1	693479	696382	2903	+	8
AT1G03020	1	698206	698515	309	-	3
AT1G03022	1	699120	699246	126	+	0
AT1G03030	1	701477	703864	2387	+	377
AT1G03040	1	703905	706631	2726	-	802
AT1G03050	1	707725	710041	2316	+	0
AT1G03055	1	710017	711803	1786	-	340
AT1G03060	1	712472	726891	14419	-	1608
AT1G03070	1	729900	731557	1657	+	34
AT1G03080	1	731610	738056	6446	-	1782
AT1G03090	1	739678	744184	4506	+	773
AT1G03100	1	743884	746479	2595	-	40
AT1G03103	1	747196	748057	861	+	0
AT1G03106	1	748101	749034	933	-	1
AT1G03110	1	749245	751963	2718	+	244
AT1G03120	1	752270	753140	870	+	5
AT1G03130	1	753306	754198	892	-	35406
AT1G03140	1	754370	756303	1933	-	866
AT1G03150	1	756413	758612	2199	+	370
AT1G03160	1	761281	766158	4877	+	1920
AT1G03170	1	769631	770684	1053	+	9
AT1G03180	1	773410	775344	1934	+	60
AT1G03190	1	775526	780062	4536	+	261
AT1G03200	1	780601	781285	684	+	42
AT1G03210	1	782947	784240	1293	+	187
AT1G03220	1	787121	788651	1530	+	422
AT1G03230	1	790090	791592	1502	+	162
AT1G03240	1	792221	792986	765	-	5
AT1G03250	1	793352	795376	2024	-	595
AT1G03260	1	795531	798463	2932	-	168
AT1G03270	1	799190	802436	3246	+	132
AT1G03280	1	803034	807066	4032	+	693
AT1G03290	1	807360	810868	3508	+	594
AT1G03300	1	811032	813086	2054	-	155
AT1G03310	1	813470	816749	3279	+	2810
AT1G03320	1	817026	817767	741	+	14
AT1G03330	1	817982	819563	1581	-	485
AT1G03340	1	819661	821317	1656	+	85
AT1G03350	1	822637	824393	1756	-	766
AT1G03360	1	824536	826358	1822	+	160
AT1G03365	1	826568	830383	3815	+	490
AT1G03370	1	830626	835361	4735	+	545
AT1G03380	1	835784	840940	5156	+	1323
AT1G03390	1	841032	842418	1386	-	2
AT1G03400	1	842746	844190	1444	-	861
AT1G03410	1	844435	847683	3248	-	179
AT1G03420	1	846663	847739	1076	+	1
AT1G03430	1	847872	849500	1628	+	452
AT1G03440	1	852365	854032	1667	+	550
AT1G03445	1	854409	859701	5292	-	0
AT1G03457	1	860787	864125	3338	-	130
AT1G03470	1	865914	867733	1819	-	83
AT1G03475	1	869050	871211	2161	-	4872
AT1G03490	1	871873	872906	1033	+	0
AT1G03495	1	873183	874935	1752	+	76
AT1G03502	1	875357	875471	114	-	10
AT1G03506	1	875517	875604	87	-	2
AT1G03510	1	876257	877547	1290	-	17
AT1G03515	1	877647	877719	72	+	0
AT1G03520	1	877861	880158	2297	-	309
AT1G03530	1	880495	883391	2896	-	169
AT1G03540	1	883781	885611	1830	+	49
AT1G03545	1	885940	887906	1966	+	8
AT1G03550	1	885622	887956	2334	-	88
AT1G03560	1	890155	892410	2255	-	207
AT1G03570	1	892513	892585	72	+	0
AT1G03580	1	892846	894052	1206	+	5
AT1G03590	1	894253	897518	3265	-	390
AT1G03600	1	898875	899655	780	+	13474
AT1G03610	1	900886	903003	2117	+	766
AT1G03620	1	904318	906186	1868	-	9
AT1G03630	1	907641	909376	1735	+	10338
AT1G03640	1	909810	909883	73	-	0
AT1G03650	1	910022	911193	1171	-	12
AT1G03660	1	911435	911759	324	-	11
AT1G03670	1	914221	916222	2001	-	0
AT1G03680	1	916818	918064	1246	-	9018
AT1G03687	1	918298	920507	2209	+	341
AT1G03700	1	920949	921901	952	+	0
AT1G03710	1	923425	924726	1301	+	17
AT1G03720	1	924995	926373	1378	-	0
AT1G03730	1	930827	931895	1068	-	69
AT1G03740	1	933511	937043	3532	+	525
AT1G03743	1	937206	937287	81	-	0
AT1G03746	1	937400	937485	85	-	0
AT1G03750	1	937919	941162	3243	+	142
AT1G03760	1	941061	943377	2316	-	108
AT1G03770	1	944571	947483	2912	+	92
AT1G03780	1	947519	951827	4308	-	296
AT1G03790	1	954524	956097	1573	+	0
AT1G03800	1	957260	957998	738	-	8
AT1G03810	1	958758	959609	851	+	0
AT1G03820	1	959868	960728	860	-	199
AT1G03830	1	962015	966757	4742	-	227
AT1G03840	1	967502	970130	2628	-	22
AT1G03850	1	976096	977761	1665	-	34
AT1G03860	1	979307	981885	2578	-	924
AT1G03870	1	982505	983540	1035	-	855
AT1G03880	1	985750	988146	2396	+	0
AT1G03890	1	989197	991020	1823	+	0
AT1G03900	1	991138	993118	1980	+	1105
AT1G03905	1	993399	995784	2385	+	42
AT1G03910	1	996114	1000437	4323	+	917
AT1G03920	1	1001320	1004383	3063	+	43
AT1G03930	1	1004768	1008370	3602	+	1267
AT1G03935	1	1008809	1008896	87	+	11
AT1G03940	1	1009541	1011056	1515	-	99
AT1G03950	1	1011171	1013365	2194	-	280
AT1G03960	1	1013714	1017929	4215	+	216
AT1G03970	1	1018099	1019247	1148	+	131
AT1G03980	1	1018569	1022108	3539	-	9
AT1G03982	1	1022250	1023719	1469	-	0
AT1G03990	1	1024846	1027616	2770	+	92
AT1G04000	1	1028105	1029119	1014	-	236
AT1G04010	1	1031199	1036237	5038	-	240
AT1G04020	1	1036536	1040224	3688	+	336
AT1G04030	1	1040382	1042892	2510	+	74
AT1G04040	1	1042361	1043864	1503	-	943
AT1G04050	1	1045597	1049297	3700	-	97
AT1G04070	1	1050552	1051186	634	-	76
AT1G04080	1	1051311	1056827	5516	+	2156
AT1G04090	1	1057150	1059419	2269	+	18
AT1G04100	1	1059505	1061191	1686	+	126
AT1G04110	1	1061456	1063784	2328	-	162
AT1G04120	1	1064449	1071047	6598	-	1786
AT1G04130	1	1073426	1075568	2142	+	239
AT1G04140	1	1075542	1080630	5088	-	1723
AT1G04150	1	1081207	1084246	3039	-	2
AT1G04160	1	1086494	1096146	9652	+	409
AT1G04170	1	1096945	1099898	2953	+	1894
AT1G04171	1	1100443	1100608	165	-	0
AT1G04180	1	1104622	1105988	1366	+	1
AT1G04190	1	1106427	1108715	2288	-	472
AT1G04200	1	1109481	1114107	4626	+	623
AT1G04210	1	1114404	1119739	5335	+	1116
AT1G04220	1	1119698	1122526	2828	-	155
AT1G04230	1	1125517	1128168	2651	+	224
AT1G04240	1	1128187	1129551	1364	-	946
AT1G04250	1	1136257	1138613	2356	+	1939
AT1G04260	1	1140527	1141365	838	-	144
AT1G04270	1	1141603	1143053	1450	-	5093
AT1G04280	1	1143435	1146654	3219	-	355
AT1G04290	1	1147522	1148533	1011	-	69
AT1G04295	1	1147780	1148435	655	+	2
AT1G04300	1	1148596	1154652	6056	-	1362
AT1G04310	1	1154763	1157711	2948	-	70
AT1G04320	1	1159022	1159093	71	+	0
AT1G04330	1	1161310	1161982	672	-	12
AT1G04340	1	1163096	1164851	1755	-	375
AT1G04350	1	1165164	1166768	1604	+	2475
AT1G04360	1	1167456	1168878	1422	-	28
AT1G04370	1	1175176	1175578	402	+	0
AT1G04380	1	1176920	1178407	1487	-	6
AT1G04390	1	1179362	1183704	4342	-	321
AT1G04400	1	1185549	1188517	2968	-	2298
AT1G04410	1	1189077	1191412	2335	-	12913
AT1G04420	1	1191607	1193884	2277	+	3616
AT1G04425	1	1194186	1196889	2703	+	52
AT1G04430	1	1198117	1201527	3410	+	2290
AT1G04440	1	1202254	1205803	3549	+	1323
AT1G04445	1	1207343	1207862	519	+	1
AT1G04450	1	1208520	1209874	1354	+	0
AT1G04457	1	1210318	1210549	231	-	0
AT1G04470	1	1211048	1214662	3614	-	0
AT1G04480	1	1216094	1217467	1373	+	1688
AT1G04490	1	1217947	1220137	2190	-	19
AT1G04500	1	1221432	1224366	2934	-	2
AT1G04501	1	1224551	1224680	129	+	0
AT1G04510	1	1226574	1230827	4253	+	1114
AT1G04520	1	1231577	1234032	2455	+	529
AT1G04530	1	1234175	1236034	1859	-	2922
AT1G04540	1	1237255	1239061	1806	+	190
AT1G04550	1	1240374	1242121	1747	+	687
AT1G04555	1	1242557	1244244	1687	+	103
AT1G04560	1	1244946	1246059	1113	+	0
AT1G04570	1	1246727	1248775	2048	-	88
AT1G04580	1	1252121	1257510	5389	-	4
AT1G04590	1	1258576	1261426	2850	-	401
AT1G04600	1	1262122	1272376	10254	+	26
AT1G04610	1	1279387	1281618	2231	+	2
AT1G04620	1	1282740	1286584	3844	-	580
AT1G04625	1	1287830	1289820	1990	-	0
AT1G04630	1	1289733	1291112	1379	-	569
AT1G04635	1	1291313	1291995	682	+	19
AT1G04640	1	1292079	1293357	1278	+	751
AT1G04645	1	1293769	1294263	494	-	0
AT1G04650	1	1294892	1299002	4110	-	156
AT1G04660	1	1300485	1301773	1288	-	33
AT1G04670	1	1301860	1302724	864	+	0
AT1G04680	1	1303528	1307884	4356	-	1906
AT1G04684	1	1310429	1310579	150	-	0
AT1G04690	1	1313563	1315750	2187	+	1938
AT1G04700	1	1316253	1320919	4666	+	62
AT1G04710	1	1321903	1324782	2879	+	654
AT1G04720	1	1324922	1324960	38	+	0
AT1G04730	1	1325295	1331086	5791	-	196
AT1G04750	1	1331465	1333567	2102	-	1094
AT1G04760	1	1334759	1336070	1311	+	42
AT1G04770	1	1336370	1337849	1479	-	230
AT1G04778	1	1339891	1340327	436	+	3
AT1G04780	1	1340668	1343584	2916	-	773
AT1G04790	1	1345035	1348451	3416	+	581
AT1G04800	1	1348451	1349286	835	-	2496
AT1G04810	1	1350179	1355442	5263	+	1173
AT1G04820	1	1356190	1358386	2196	-	4789
AT1G04830	1	1358573	1362019	3446	-	378
AT1G04840	1	1362866	1364962	2096	-	12
AT1G04850	1	1365117	1368844	3727	-	1695
AT1G04860	1	1369053	1373101	4048	-	629
AT1G04870	1	1373233	1375762	2529	-	326
AT1G04880	1	1375960	1379185	3225	-	10
AT1G04890	1	1380381	1382599	2218	-	0
AT1G04900	1	1383840	1387895	4055	+	123
AT1G04910	1	1387870	1391187	3317	-	618
AT1G04920	1	1391501	1395864	4363	-	58
AT1G04930	1	1396290	1399053	2763	-	61
AT1G04940	1	1399181	1400770	1589	+	133
AT1G04945	1	1399173	1403112	3939	+	81
AT1G04950	1	1403084	1407501	4417	-	688
AT1G04960	1	1407800	1410868	3068	-	443
AT1G04970	1	1411169	1413627	2458	+	734
AT1G04980	1	1413643	1416144	2501	-	195
AT1G04985	1	1416342	1418482	2140	-	681
AT1G04990	1	1419079	1421789	2710	-	239
AT1G05000	1	1425592	1428782	3190	+	18
AT1G05010	1	1431189	1432858	1669	-	2573
AT1G05020	1	1435253	1437667	2414	-	14
AT1G05030	1	1438151	1441417	3266	-	376
AT1G05040	1	1447368	1448448	1080	-	0
AT1G05055	1	1448717	1450887	2170	-	241
AT1G05060	1	1451029	1452872	1843	-	331
AT1G05061	1	1453215	1454260	1045	-	1
AT1G05065	1	1454968	1455220	252	-	33
AT1G05070	1	1457062	1458744	1682	-	484
AT1G05080	1	1459090	1460579	1489	+	0
AT1G05085	1	1460987	1461670	683	+	0
AT1G05090	1	1463201	1465622	2421	+	6
AT1G05100	1	1469609	1470881	1272	+	16
AT1G05120	1	1471405	1476078	4673	-	417
AT1G05135	1	1477499	1478821	1322	-	227
AT1G05136	1	1478922	1479063	141	+	0
AT1G05140	1	1482547	1484056	1509	+	2023
AT1G05150	1	1484066	1486960	2894	-	817
AT1G05160	1	1487377	1490947	3570	-	253
AT1G05170	1	1491110	1494248	3138	-	605
AT1G05180	1	1498113	1501824	3711	-	504
AT1G05190	1	1502343	1503830	1487	-	12108
AT1G05200	1	1504959	1509152	4193	+	1633
AT1G05205	1	1509102	1510281	1179	-	290
AT1G05210	1	1510403	1511683	1280	+	83
AT1G05220	1	1511906	1513573	1667	+	4
AT1G05230	1	1512895	1518805	5910	-	545
AT1G05240	1	1521136	1522681	1545	+	0
AT1G05250	1	1525600	1527234	1634	-	0
AT1G05260	1	1529766	1531439	1673	+	32
AT1G05270	1	1531640	1534410	2770	-	533
AT1G05280	1	1535443	1537525	2082	-	0
AT1G05290	1	1539151	1540562	1411	-	0
AT1G05291	1	1541347	1542432	1085	-	0
AT1G05300	1	1545105	1547849	2744	-	116
AT1G05310	1	1550542	1552517	1975	-	172
AT1G05320	1	1553602	1557733	4131	+	726
AT1G05330	1	1558169	1558583	414	+	0
AT1G05340	1	1558843	1559903	1060	-	12
AT1G05350	1	1560677	1564123	3446	-	562
AT1G05360	1	1564597	1567465	2868	+	344
AT1G05370	1	1569191	1572280	3089	-	30
AT1G05380	1	1576862	1582614	5752	+	803
AT1G05385	1	1582670	1583718	1048	-	812
AT1G05390	1	1583771	1583845	74	-	0
AT1G05400	1	1584072	1585421	1349	+	17
AT1G05410	1	1585370	1587778	2408	-	370
AT1G05420	1	1590072	1590753	681	+	24
AT1G05430	1	1594056	1595818	1762	-	646
AT1G05440	1	1596006	1597848	1842	-	31
AT1G05450	1	1599910	1601214	1304	+	0
AT1G05460	1	1601147	1605027	3880	-	344
AT1G05470	1	1607356	1611703	4347	-	479
AT1G05490	1	1618601	1623452	4851	-	22
AT1G05500	1	1624954	1629224	4270	+	1270
AT1G05510	1	1629445	1630863	1418	+	2
AT1G05520	1	1630899	1635711	4812	-	774
AT1G05530	1	1636495	1637863	1368	-	0
AT1G05540	1	1639285	1640811	1526	+	232
AT1G05550	1	1640958	1643917	2959	-	7
AT1G05560	1	1645497	1647147	1650	-	115
AT1G05562	1	1645874	1647162	1288	+	3
AT1G05570	1	1647705	1659437	11732	-	617
AT1G05575	1	1661690	1662187	497	-	1
AT1G05577	1	1662369	1664398	2029	-	1
AT1G05580	1	1665432	1668904	3472	-	0
AT1G05590	1	1669349	1671876	2527	+	519
AT1G05600	1	1671935	1673856	1921	+	180
AT1G05610	1	1673860	1675934	2074	-	9
AT1G05615	1	1677506	1678270	764	-	0
AT1G05620	1	1679157	1681710	2553	+	194
AT1G05630	1	1682317	1687363	5046	+	606
AT1G05640	1	1687435	1689501	2066	-	57
AT1G05650	1	1690263	1692126	1863	-	0
AT1G05660	1	1694285	1696058	1773	-	0
AT1G05670	1	1697586	1701025	3439	-	242
AT1G05675	1	1701115	1702749	1634	-	7
AT1G05680	1	1703091	1704691	1600	-	19
AT1G05690	1	1707010	1709347	2337	+	240
AT1G05700	1	1709795	1713245	3450	+	3
AT1G05710	1	1714949	1717276	2327	+	138
AT1G05720	1	1717446	1718909	1463	-	195
AT1G05730	1	1718554	1720303	1749	+	12
AT1G05740	1	1720673	1721309	636	+	0
AT1G05750	1	1721508	1724734	3226	+	69
AT1G05760	1	1723733	1724486	753	-	0
AT1G05770	1	1725387	1726283	896	-	12
AT1G05780	1	1726607	1728404	1797	+	70
AT1G05785	1	1730248	1732626	2378	+	96
AT1G05790	1	1732870	1737489	4619	+	493
AT1G05800	1	1741203	1742619	1416	+	1
AT1G05805	1	1744772	1747693	2921	+	450
AT1G05810	1	1748313	1749460	1147	+	101
AT1G05820	1	1749681	1753990	4309	+	79
AT1G05830	1	1754243	1761817	7574	+	903
AT1G05835	1	1762223	1762814	591	+	153
AT1G05840	1	1762733	1766281	3548	-	538
AT1G05850	1	1766502	1768695	2193	-	10924
AT1G05860	1	1769013	1771115	2102	+	242
AT1G05870	1	1771456	1773293	1837	-	1322
AT1G05880	1	1775642	1778553	2911	+	7
AT1G05890	1	1779255	1784529	5274	+	949
AT1G05894	1	1784802	1786292	1490	+	22
AT1G05900	1	1786855	1789676	2821	+	703
AT1G05910	1	1790223	1796647	6424	+	668
AT1G05920	1	1796777	1798254	1477	+	0
AT1G05925	1	1798900	1799062	162	-	0
AT1G05930	1	1799417	1800933	1516	+	0
AT1G05940	1	1801161	1803984	2823	-	868
AT1G05950	1	1804400	1807471	3071	-	129
AT1G05960	1	1807972	1815474	7502	-	1021
AT1G05970	1	1816055	1817282	1227	-	124
AT1G05980	1	1817399	1817471	72	+	0
AT1G05990	1	1818446	1819040	594	+	0
AT1G06000	1	1820307	1821894	1587	-	343
AT1G06002	1	1820976	1821918	942	+	0
AT1G06010	1	1822617	1823997	1380	+	185
AT1G06020	1	1824547	1826101	1554	+	8
AT1G06030	1	1826879	1828161	1282	+	0
AT1G06040	1	1828412	1829890	1478	-	7383
AT1G06050	1	1830604	1832555	1951	-	131
AT1G06060	1	1832942	1834861	1919	+	427
AT1G06070	1	1834828	1837648	2820	-	362
AT1G06080	1	1843567	1846302	2735	+	37
AT1G06090	1	1847882	1849693	1811	+	22
AT1G06100	1	1851529	1853019	1490	+	101
AT1G06110	1	1853076	1855031	1955	-	716
AT1G06120	1	1855942	1857718	1776	+	0
AT1G06130	1	1857766	1860730	2964	-	754
AT1G06135	1	1862196	1862742	546	+	1
AT1G06137	1	1863543	1863750	207	-	0
AT1G06140	1	1864795	1866472	1677	+	14
AT1G06148	1	1874884	1877528	2644	-	8
AT1G06149	1	1868988	1873718	4730	-	0
AT1G06150	1	1867014	1873718	6704	-	67
AT1G06160	1	1883003	1883934	931	+	6
AT1G06170	1	1884980	1886897	1917	-	11
AT1G06180	1	1889407	1891158	1751	+	43
AT1G06190	1	1892272	1894148	1876	-	1867
AT1G06200	1	1894335	1896935	2600	-	838
AT1G06210	1	1897202	1899208	2006	+	671
AT1G06220	1	1899963	1904873	4910	+	1145
AT1G06225	1	1905974	1906226	252	+	0
AT1G06230	1	1906962	1910848	3886	+	1235
AT1G06240	1	1911121	1913205	2084	+	566
AT1G06250	1	1913255	1914895	1640	-	85
AT1G06260	1	1916429	1917585	1156	+	3
AT1G06265	1	1914942	1917661	2719	-	85
AT1G06270	1	1918087	1919760	1673	-	91
AT1G06280	1	1920306	1920949	643	-	0
AT1G06290	1	1922351	1926278	3927	+	1179
AT1G06310	1	1926790	1930258	3468	+	1
AT1G06320	1	1930522	1931449	927	+	0
AT1G06330	1	1931670	1932266	596	-	0
AT1G06340	1	1933283	1934014	731	-	1
AT1G06350	1	1935292	1936819	1527	-	12
AT1G06360	1	1938962	1940459	1497	-	1057
AT1G06370	1	1942842	1944934	2092	-	107
AT1G06380	1	1945123	1946076	953	+	97
AT1G06390	1	1946787	1950860	4073	+	1043
